spotify_id,name,followers,popularity,genres
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,108555468,97,
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,73542788,93,
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,40034150,93,"art pop, pop"
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,121409220,92,soft pop
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,83635494,97,
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,59377331,93,
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,115047690,95,
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,67653001,93,
4q3ewBCX7sLwd24euuV69X,Bad Bunny,98472289,100,"reggaeton, trap latino, urbano latino, latin"
06HL4z0CvFAxyc27GXpf02,Taylor Swift,140665311,99,
3TVXtAsR1Inumwj472S9r4,Drake,100312081,99,rap
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,42906474,94,"hip hop, west coast hip hop"
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,27051789,91,"edm, dance"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,106111030,93,pop
7CajNmpbOovFoOoasH2HaY,Calvin Harris,23096080,89,edm
7tYKF4w9nC0nq9CsPZTHyP,SZA,31428567,92,r&b
04gDigrS5kc9YWfZHwBETP,Maroon 5,45244143,89,pop
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,38632505,91,"reggaeton, latin"
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,24325419,92,
246dkjvS1zLTtiykXe5h60,Post Malone,47300000,90,
0EmeFodog0BfCgMzAIvKQp,Shakira,38774529,89,latin pop
6jJ0s89eD6GaHleKKya26X,Katy Perry,37692409,88,pop
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,46381344,89,pop
5WUlDfRSoLAfcVSX1WnrxN,Sia,30131268,87,
7dGJo4pcD2V6oG8kP0tJRR,Eminem,102347335,92,"rap, hip hop"
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,39870166,95,rap
0TnOYISbd1XYRBk9myaseg,Pitbull,11726365,89,
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,9221410,87,
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,30431477,93,rap
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,49391987,92,
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,57772675,90,
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,27218614,91,r&b
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,26235867,86,
6vWDO969PvNqNYHIOW5v0m,Beyoncé,40667838,89,
45dkTj5sMRSjrmBSBeiHym,Tate McRae,8392746,91,
790FomKkXshlbRYZFtlgla,KAROL G,58375637,94,"reggaeton, latin, urbano latino"
22wbnEMDvgVIAGdFeek6ET,Benson Boone,6402649,89,
4VMYDCV2IEDYJArk749S6m,Daddy Yankee,37358820,89,"reggaeton, latin"
0fTSzq9jAh4c36UVb4V7CB,Alex Warren,2184683,90,
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,33814741,88,
64KEffDW9EtZ1y2vBYgq8T,Marshmello,34303745,84,edm
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,31080494,89,"indie, garage rock"
1RyvyyTE3xzB2ZywiAwp0i,Future,22003464,92,rap
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,18447483,86,soft pop
4dpARuHxo51G3z768sgnrY,Adele,65177848,87,soft pop
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,30774169,92,"nu metal, rap metal, rock, alternative metal"
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,21177392,84,
3Isy6kedDrgPYoTS1dazA9,Sean Paul,5193069,86,dancehall
2wY79sveU1sp5g7SokKOiI,Sam Smith,25964856,85,soft pop
6LuN9FCkKOj5PcnpouEgny,Khalid,16795957,85,
1dfeR4HaWDbWqFHLkxsg1d,Queen,54445960,86,"classic rock, rock, glam rock"
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,29730374,92,"reggaeton, urbano latino, trap latino, latin"
55Aa2cqylxrFIXC767Z865,Lil Wayne,17424072,90,"rap, hip hop"
26VFTg2z8YR0cCuwLzESi2,Halsey,22225301,84,
4G9NDjRyZFDlJKMRL8hx3S,sombr,1749714,88,
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,36337909,86,
3PhoLpVuITZKcymswpck5b,Elton John,15154242,85,
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,35207218,83,
6LqNN22kT3074XbTVUrhzX,Kesha,8944648,85,
6KImCVD70vtIoJWnq6nGn3,Harry Styles,33841834,85,
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,5167107,87,
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,13499333,87,"classic rock, yacht rock, soft rock"
4YRxDV8wJFPHPTeXepOstw,Arijit Singh,154114677,93,"hindi pop, bollywood, desi, bangla pop"
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,45283799,85,
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,34086574,88,
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,14556618,90,rage rap
2FXC3k01G6Gw61bmprjgqS,Hozier,8944432,86,
0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,31327798,87,"bollywood, hindi pop, desi, kannada pop, marathi pop, bangla pop"
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,47260079,89,
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,38865354,89,"reggaeton, trap latino, latin, urbano latino"
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,52856349,85,
31TPClRtHm23RisEBtV3X7,Justin Timberlake,15528311,85,
1r4hJ1h58CWwUQe3MxPuau,Maluma,37646404,88,"reggaeton, latin, urbano latino"
540vIaP2JwjQb9dm3aArA4,DJ Snake,9195517,82,
3eVa5w3URK5duf6eyVDbu9,ROSÉ,12358751,85,k-pop
1wRPtKGflJrBx9BmLsSwlU,Pritam,54883763,91,"bollywood, hindi pop, desi"
23zg3TcAtWQy7J6upgbUnj,USHER,13432136,84,r&b
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",23193278,93,
21E3waRsmPlU7jZsS13rcj,Ne-Yo,9978274,84,
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,12017246,85,rap
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,39944196,87,
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,13104018,82,
33ScadVnbm2X8kkUqOkC6Z,Don Omar,15378288,86,"reggaeton, urbano latino"
